nom,email,montant
fqlra,igjsd@mailtest.com,957.76
iqkgi,xjlnj@mailtest.com,240.01
iqkph,gyrko@fakemail.org,211.65
rmowp,xlkmj@fakemail.org,861.9
ghhlf,mzwng@mailtest.com,476.58
ubsaj,dwltx@mailtest.com,827.84
zbppc,vumet@example.com,733.04
pwzcn,wlnsg@fakemail.org,857.77
hulrm,zplsy@example.com,239.35
pyayp,bgqwa@example.com,866.02
ukggi,pwxng@mailtest.com,107.03
ekkwd,ttaed@mailtest.com,928.66
btedk,wrkha@fakemail.org,957.42
tzjhi,ilcbq@mailtest.com,76.65
xvzim,swbig@mailtest.com,891.29
xgglo,adaqt@mailtest.com,574.09
wnirg,mkryu@mailtest.com,283.71
uwsbn,shmmr@fakemail.org,82.46
rpbxy,lbuig@fakemail.org,676.0
vhass,tnuyu@mailtest.com,38.61
dzwla,mrxkw@mailtest.com,935.8
edsgp,ipgkj@example.com,916.87
acmln,ugjpw@fakemail.org,345.25
sxxpu,bvcys@example.com,829.82
ahtdy,pmfnz@mailtest.com,117.1
rydha,jhoac@example.com,253.71
cgukf,vfyqe@mailtest.com,845.5
ptyde,thmgo@example.com,388.31
auvqb,krnoc@fakemail.org,972.02
jjtep,gekal@mailtest.com,723.78
majtr,rgipa@example.com,333.4
zllin,tbzxa@example.com,344.71
vkfwz,rjnhs@mailtest.com,155.9
dtygj,pslfo@mailtest.com,576.96
euvqo,tfefw@mailtest.com,170.75
cxkgm,cmxjr@example.com,63.64
zouvx,ykhtf@fakemail.org,669.07
dasxi,vtwbr@example.com,753.47
kkttn,vltkl@fakemail.org,534.26
jklio,wrfrb@fakemail.org,96.5
nttof,cpzfn@fakemail.org,492.8
ifgpk,nbxgm@mailtest.com,291.65
eonbp,vquzp@mailtest.com,223.93
hxdfh,gznpy@example.com,301.3
zoonq,wolhz@fakemail.org,646.86
mhnbn,fpxyq@fakemail.org,64.07
dujhc,tvjrg@example.com,855.66
lfcac,ezcku@mailtest.com,105.58
mhdee,atypr@example.com,13.45
kfjdt,eafgk@fakemail.org,517.31
